id,FailureModes.Description,Platforms.Name as Platfrom,Components.Name as Component,SubComponents.Name as SubComponent,FailureModes.Functionality
21,Auto clogging does not run,C2C3,Program Executor,Auto Clogging,Leak Check for PED valves shall not happen
22,Auto clogging ER,C2C3,Program Executor,Auto Clogging,ER does not complete the Auto-clogging Leak check.
23,Correct Last Leak/Leak Date update,C2C3,Program Executor,Auto Clogging,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
24,Backward compatibility when run with Auto Clog button unchecked.,C2C3,Program Executor,Auto Clogging,Module ROR does not run/or does not run as before
25,Bath module goes down,C2C3,Module mainL,Bath Module,Buffered bottle functionality
26,bath module cannot communicate with slave bath KB task on Node 4,C2C3,Module mainL,Bath Module,Open/close buffered bottle valves
27,Reverse forwarding updates from slave bath to master bath module,C2C3,Module mainL,Bath Module,Linked PMA-PMB bath without buffered bottle
28,Reverse forwarding from bath module to slave bath KB,C2C3,Watchdog,Bath Module,watchdog does not inform bath module that duet plate 5 is up
29,"User is not aware thar ""Physical PM started"" button needs to be clicked",C2C3,UI,Button Action,Notification of Pre PM started
30,"User is not aware thar ""Physical PM completed"" button needs to be clicked",C2C3,UI,Button Action,Notification of Pre PM Ended
31,"User is not aware thar ""Physical PM started"" button needs to be clicked",C2C3,UI,Button Action,Notification of Pre PM started
32,"User is not aware thar ""Physical PM completed"" button needs to be clicked",C2C3,UI,Button Action,Notification of Pre PM Ended
33,N2 gas do not flow as user's request.,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP
34,No N2 flow. No N2 flow events to the host.,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP
35,FOUP N2 flow can not reach user's setpoint.,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP 
36,System will not send WaferMap to the host.,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP 
37,N2 purge FOUP partition test will not be complete due to missing PARTITON_N2_PURGE_FOUP recipe,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP Partition Test
38,N2 purge FOUP partition test will not be complete due to INVALID license - not exist ,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP Partition Test
39,N2 purge FOUP partition test will not be complete because N2 purge is not enabled in host commands,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP Partition Test
40,Processing purge does not stop,C2C3,Module mainL,Cassette or FOUP management,N2 Purge FOUP Partition Test
41,Option setting is not consistent with hardware config,C2C3,UI,Configuration Editor,Functionality text
42,Port open failure.,C2C3,Module mainL,CPM,Initialize comm port 2  - port open 
43,Unable to register DI Solver CO2 device under serial monitor utility.,C2C3,Module mainL,CPM,Serial monitor register
44,Unable to send commands to DI Solver CO2 device.,C2C3,Module mainL,CPM,Send commands to DI Solver CO2 device
45,Partial response received,C2C3,Module mainL,CPM,Handle DI Solver CO2 device response
46,Fake Sensor state change,C2C3,Module mainL,CPM,Sensor state change
47,Software sent invalid data to host,C2C3,Module mainL,CPM,Host support
48,Unable to handle the DI Solver CO2 device response,C2C3,Module mainL,CPM,Send commands to DI Solver CO2 device
49,Data will not retain over tool power cycle,C2C3,Module mainL,CPM,Persistant data after power-cycle
50,Data will not retain over tool Upgrade,C2C3,Module mainL,CPM,Persistant data after Upgrade
51,"1. User not able to change the value of ""Target pressure"" . 2.User able to modify the Target Pressure beyond the Min and Max limits",C2C3,UI,Device Monitor,"Editing of ""Target Pressure"" in Multiple MFC screen"
52,1.Some of the MFCs are missing in Multiple MFC calibration screen,C2C3,UI,Device Monitor,Display of Multi MFC calibration screen
53,Command unsuccessful,C2C3,FA,E40 - PJOB,Pause/Resume Command
54,Host command rejected for back to back messages,C2C3,FA,E40 - PJOB,Pause/Resume Command
55,Allowing PJOB creation while AUTO PM  in progress  or command is queued can cause the PJOB to wait in the queue for a long time until the Auto PM completion which is unnecessary,C2C3,FA,E40 - PJOB,PJOB creation request  - with Tuning and without Tuning 
56,"On Softshutdown/Module error, wafer heading to the module does not backout in case of a Single module recipe",Nexus,Scheduler,Error handling,Wafer backout/Parallel path selection on module error/Module Softshutdown
57,Wafer run continues before all the wafers are back to the cassette after module error which will cause regrouping of wafer,Nexus,Scheduler,Error handling,Wafer backout/Parallel path selection on module error/Module Softshutdown
58,Performance  affected hence delay in the response and vids updates,C2C3,UI,FA,Pause/Resume Command
59,Performance  affected hence delay in the response and vids updates,C2C3,UI,FA,Download Recipe/ParameterSet
60,1.Extra MFCs names are shown in Multi MFC calibration screen,C2C3,UI,Flow Calibration,Display of Multi MFC calibration screen
61,1.User not able access Multi MFC calibration screen,C2C3,UI,Flow Calibration,Multi MFC calibration screen
62,1.User not able to save modified value,C2C3,UI,Flow Calibration,Saving of MFC calibrated data
63,1.User not able access Multi MFC calibration screen,C2C3,UI,Flow Calibration,Multi MFC calibration screen
64,1. MultiMFC calibration goes errors while executing the list ; 2.User not able to find Which MFC is currently getting calibrated,C2C3,UI,Flow Calibration,Module error while Multi MFC list is getting executed
65,1.Extra MFCs names are shown in Multi MFC calibration screen,C2C3,UI,Flow Calibration,Display of Multi MFC calibration screen
66,1.User not able to save modified value,C2C3,UI,Flow Calibration,Saving of MFC calibrated data
67,Multi MFC Calibration Screen,C2C3,Program Executor,Flow Calibration,Multi MFC calibration screen hangs and doesnot open 
68,Multi MFC Calibration Screen,C2C3,Program Executor,Flow Calibration,Module error while Multi MFC list is getting executed
69,Multi MFC Calibration Screen,C2C3,Program Executor,Flow Calibration,Editing problem in Multiple MFC screen
70,Multi MFC calibration,C2C3,Program Executor,Flow Calibration,MFC's not grouped correctly
71,Multi MFC Calibration Screen,C2C3,Program Executor,Flow Calibration,Some of the MFCs are missing in Multiple MFC calibration screen
72,Multi MFC calibration,C2C3,Program Executor,Flow Calibration,Incompatible MFCs are calibrated without execution Full Flush
73,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,Multi MFC calibration screen hangs and doesnot open
74,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,MFC names and mfc  DATA attributes are not matching
75,Multi MFC calibration,C2C3,Program Executor,Flow Calibration,1. Particular MFC of particular Gas Type is not in group with Same Gas type with other MFCs
76,Calibration of Multiple MFC s,C2C3,Program Executor,Flow Calibration,1.Incompatible MFCs are calibrrated without execution Full Flush
77,Module error while Multi MFC list is getting executed,C2C3,Program Executor,Flow Calibration,find Which MFC is currently getting calibrated
78,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1.Extra MFCs names are shown in Multi MFC calibration screen
79,Saving of MFC calibrated data,C2C3,Program Executor,Flow Calibration,1.User not able to save modified value
80,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1.MFC names and mfc  DATA attributes are not matching 
81,"Editing of ""Target Pressure"" in Multiple MFC screen",C2C3,Program Executor,Flow Calibration,"1. User not able to change the value of ""Target pressure"" . 2.User able to modify the Target Pressure beyond the Min and Max limits"
82,Multi MFC calibration ,C2C3,Program Executor,Flow Calibration,1. Particular MFC of particular Gas Type is not in group with Same Gas type with other MFCs
83,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1.Some of the MFCs are missing in Multiple MFC calibration screen
84,Calibration of Multiple MFC s,C2C3,Program Executor,Flow Calibration,1.Incompatible MFCs are calibrrated without execution Full Flush
85,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1.MFC names and mfc  DATA attributes are not matching 
86,"Editing of ""Target Pressure"" in Multiple MFC screen",C2C3,Program Executor,Flow Calibration,"1. User not able to change the value of ""Target pressure"" . 2.User able to modify the Target Pressure beyond the Min and Max limits"
87,Multi MFC calibration ,C2C3,Program Executor,Flow Calibration,1. Particular MFC of particular Gas Type is not in group with Same Gas type with other MFCs
88,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1.Some of the MFCs are missing in Multiple MFC calibration screen
89,Calibration of Multiple MFC s,C2C3,Program Executor,Flow Calibration,1.Incompatible MFCs are calibrrated without execution Full Flush
90,Module error while Multi MFC list is getting executed,C2C3,Program Executor,Flow Calibration,1. MultiMFC calibration goes errors while executing the list . 2.User not able to find Which MFC is currently getting calibrated
91,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1. Multi MFC calibration screen hangs and doesnot open 
92,Display of Multi MFC calibration screen,C2C3,Program Executor,Flow Calibration,1. Multi MFC calibration screen hangs and doesnot open 
93,Module error while Multi MFC list is getting executed,C2C3,Program Executor,Flow Calibration,1. MultiMFC calibration goes errors while executing the list ; 2.User not able to find Which MFC is currently getting calibrated
94,Saving of MFC calibrated data,C2C3,Program Executor,Flow Calibration,1.User not able to save modified value
95,LIST_ITEMS,C2C3,Program Executor,List Execution,User interventions required during execution not performed
96,LIST User Actions,C2C3,Program Executor,List Execution,User interventions required during execution not performed
97,Ofline List Execution,C2C3,Program Executor,List Execution,Error recovery of Auto PM not possible
98,Diagnostics list is aborted,C2C3,Program Executor,List Execution,The list execution terminates.
99,Get Ready or Standby list is aborted/goes into error during execution of Green mode related steps,C2C3,Program Executor,List Execution,The list execution terminates.
100,All gas valves are not closed as part of standby list,C2C3,Program Executor,List Execution,The step which commands closure of all gas valves shall not complete and will result in a time out.
101,Leak Check program name is changed in the List Editor,C2C3,Program Executor,List Execution,The Manual Leak Check or the Dynamic Leak Check cannot be run
102,Standby list is aborted or shutdown,C2C3,Program Executor,List Execution,The list execution terminates.
103,Standby list goes into error before clean starts,C2C3,Program Executor,List Execution,The module is placed in error and list execution terminates
104,Standby list goes into error during HP clean,C2C3,Program Executor,List Execution,The module is placed in error and list execution terminates
105,Standby list goes into error during LP clean,C2C3,Program Executor,List Execution,The module is placed in error and list execution terminates
106,LIST_ITEMS,C2C3,Program Executor,List Execution,User interventions required during execution not performed
107,Individual task reboot results in forwarding not getting established.,C2C3,Module mainL,Master Bath,Inter task communication between master bath & slave bath
108,Sensor/IOC failure,C2C3,Module mainL,Master Bath,Hardware communication
109,Undercoat Program Error due to incorrect metadata information,C2C3,Program,Metadata,Undercoat errored out and list was retried
110,User not able access Multi MFC calibration screen,C2C3,UI,Flow Calibration,Multi MFC calibration screen
111,User not able to save modified value,C2C3,UI,Flow Calibration,Saving of MFC calibrated data
112,Extra MFCs names are shown in Multi MFC calibration screen,C2C3,UI,Flow Calibration,Display of Multi MFC calibration screen
113,Flow Verification Step Timeout.,C2C3,Program Executor,Module capability,The list execution terminates.
114,Flow Verification Step failure,C2C3,Program Executor,Module capability,The list execution terminates.
115,Flow Verification Device failure,C2C3,Program Executor,Module capability,The list execution terminates.
116,Flow Verification Device failure,C2C3,Program Executor,Module capability,The list execution terminates.
117,Support module runs get ready when its not required.,C2C3,Scheduler,Module Conditioning,Module get ready
118,Module may not run get ready when required,C2C3,Scheduler,Module Conditioning,Module states are not changed correctly.
119,Wafers will wait in transfer chamber untill module is available for process,C2C3,Scheduler,Operation Execution,Grant Wafer proceessing when Auto PM is executing
120,Wafer processing will never start after module completed Auto PM,C2C3,Scheduler,Operation Execution,Auto PM operation not deleted
121,Recipe operation module2 not activated when Auto PM is executing for module1,C2C3,Scheduler,Operation Execution,Wafer processing
122,Soft shutdown issued while Auto PM request is Queued and tool was processing wafer.,Nexus,Scheduler,Operation Execution,Execution of PM after Schedule granted service
123,The pod loader door is opened for all cassettes at the same time to grant the mapping,Nexus,Scheduler,Operation Execution,Delayed pod opening when multiple cassettes are loaded
124,"Delayed pod opening is configured for X wafers and when the current cassette has X wafer remaining, two FOUPs in queue are mapped simultaneously",Nexus,Scheduler,Operation Execution,Delayed pod opening for jobs in queue
125,Sched Crash,C2C3,Scheduler,Operation Execution,CJOB/PJOB Pause/Resume feature execution
126,"Two operations which are compitable are marked as incompitable, resulting in throuput loss.",C2C3,Scheduler,Operation Execution,Operations are not marked as compatible
127,Sched does not create Operation for Auto PM for that module.,Nexus,Scheduler,Operation Management,Module Auto PM request
128,Previously learned time not saved on program/parameter modification,Nexus,Scheduler,Operation Management,Timing Manager: Usage of Previously learned time
129,"Operation Manager is down, Arm is not able to submit SmartPM request.",Nexus,Scheduler,Operation Management,Functionality text
130,Both production and particle partition wafers enter and are present in the system,Nexus,Scheduler,Operation Management,User loads production wafers along with particle partition wafers
131,View report,C2C3,Utilities,PCM,Report retrieval time out
132,View report,C2C3,Utilities,PCM,Report is corrupted
133,Export Report,C2C3,Utilities,PCM,Failed to write report to disk storage
134,Migrate Report - s ,C2C3,Utilities,PCM,Failed to migrate stored reports to new location
135,PCM Report,C2C3,Utilities,PCM,New CE settigns not recored in PCM report
136,Missing data in PCM report,C2C3,UI,PCM,DI Solver CO2 set point value will be part of PCM report
137,New CE settigns not recored in PCM report,C2C3,UI,PCM,PCM report
138,Program Execution,C2C3,Program Executor,Pod Loader,No program exeution in load lock
139,Module Auto PM request,C2C3,Program Executor,Pod Loader,PE recives an invalid MACRO name from Host  PM request 
140,Execution of PM after Schedule granted service,C2C3,Program Executor,Pod Loader,1. Softshutdown issued while Auto PM request  is Queue and tool was processing wafer.
141,Module error while Multi MFC list is getting executed,C2C3,Program Executor,Program Execution,MultiMFC calibration goes errors while executing the lis;  User not able to find Which MFC is currently getting calibrated
142,Clear Error for Auto PM ER - Error Recovery ,C2C3,Program Executor,Program Execution,Number of List items in PRE PM gets skipped due to Clear error
143,Another PMJObRequest while PMJob in queue/executing.,C2C3,Program Executor,Program Execution,Module receives Post PM request while a. Auto PM is currently Executing . b.Auto PM already requested
144,LIST User Actions,C2C3,Program Executor,Program Execution,User interventions required during execution not performed
145,Leak Check and Ped Leak should not start simultaneously - OR even two Ped Leaks at the same time.,C2C3,Program Executor,Program Execution, two masters controlling one module's HW simultaneously due to re-entrancy
146,Another PMJObRequest while PMJob in queue/executing.,C2C3,Program Executor,Program Execution,Module receives Post PM request while a. Auto PM is currently Executing . b.Auto PM already requested.
147,Mechanical Diagnostics Device failure,C2C3,Program Executor,Program Execution,The list execution does not start or list assembly is not initated or run diagnostics request is not received.
148,Step Timeout,C2C3,Program Executor,Program Execution,Incorrect step time out in Pump and Abatement Idle mode program
149,Endpoint tracing,C2C3,Program Executor,Program Execution,Endpoint tracing not happening during LP clean
150,Incorrect step time out in Pump and Abatement Idle mode program,C2C3,Program Executor,Program Execution,The program step will terminate even before it could detect the DI sense ON
151,The step which commands closure of all gas valves shall not complete and will result in a time out.,C2C3,Program Executor,Program Execution,The list has to be re-run to retry this step
152,Incorrect data populated,C2C3,UI,Proteus Framework,Data filtering
153,FA out of sync,C2C3,Scheduler,Purge,CJOB/PJOB Pause/Resume feature execution
154,Wafers Turns abnormal,C2C3,Scheduler,Purge,Purge operation
155,Purge Aborts,Nexus,Scheduler,Purge,Purge operation
156,Wafers don’t move,Nexus,Scheduler,Purge,Purge operation
157,cannot backup or restore new recipe,C2C3,UI,Recipe backup/restore,recipe backup/restore
158,cannot backup or restore new recipe,C2C3,UI,Recipe backup/restore,recipe backup/restore
159,recipe backup/restore,C2C3,Utilities,Recipe Editor,cannot backup or restore new recipe
160,unable to create / save recipe with load lock in recipe path,C2C3,UI,Recipe Editor,recipe structure
161,unable to open recipe / assign recipe to wafer after configuration change,C2C3,UI,Recipe Editor,recipe structure
162,Unable to select program / parameter for load lock.,C2C3,UI,Recipe Editor,recipe structure
163,unable to create / save recipe with load lock in recipe path,C2C3,UI,Recipe Editor,recipe structure
164,unable to open recipe / assign recipe to wafer after configuration change,C2C3,UI,Recipe Editor,recipe structure
165,Unable to select program / parameter for load lock.,C2C3,UI,Recipe Editor,recipe structure
166,unable to create / save recipe with load lock in recipe path,C2C3,UI,Recipe Editor,recipe structure
167,unable to open recipe / assign recipe to wafer after configuration change,C2C3,UI,Recipe Editor,recipe structure
168,Unable to select program / parameter for load lock,C2C3,UI,Recipe Editor,recipe structure
169,Wafers will wait in transfer chamber untill module is available for process,C2C3,Scheduler,Recipe Execution,Grant Wafer processing when Auto PM is executing
170,Wafer processing will never start after module completed Auto PM,C2C3,Scheduler,Recipe Execution,Auto PM operation not deleted
171,Wafers will wait in transfer chamber untill module is available for process,Nexus,Scheduler,Recipe Execution,Grant Wafer processing when Auto PM is executing
172,Wafer processing will never start after module completed Auto PM,Nexus,Scheduler,Recipe Execution,Auto PM operation not deleted
173,Backward compatability issues -  1  Unable to create recipe without load locks. 2  unable to use exisiting  - original  recipe.,C2C3,Scheduler,Recipe Management,wafer sequence
174,unable to create / save recipe with load lock in recipe path,C2C3,Scheduler,Recipe Management,recipe structure
175,unable to open recipe / assign recipe to wafer after configuration change,C2C3,Scheduler,Recipe Management,recipe structure
176,Unable to select program / parameter for load lock.,C2C3,Scheduler,Recipe Management,recipe structure
177,unable to create/save recipe with revisit recipe,C2C3,Scheduler,Recipe Management,recipe structure
178,unable to create / save recipe with load lock in recipe path,C2C3,Scheduler,Recipe Management,recipe structure
179,unable to open recipe / assign recipe to wafer after configuration change,C2C3,Scheduler,Recipe Management,recipe structure
180,Unable to select program / parameter for load lock.,C2C3,Scheduler,Recipe Management,recipe structure
181,Upload Unsuccessful,C2C3,FA,Recipe Management,Upload Recipe/ParameterSet
182,Unable to upload/download new recipe,C2C3,FA,Recipe Management,upload/download recipe
183,Unable to upload/download new recipe,C2C3,FA,Recipe Management,upload/download recipe
184,deadlock,C2C3,Scheduler,Reload,reload
185,Auto Clogging does not run,C2C3,Program Executor,RoR,Leak Check for PED valves shall not happen
186,Auto Clogging ER,C2C3,Program Executor,RoR,ER does not complete the Auto-clogging Leak check.
187,Correct Last Leak/Leak Date update,C2C3,Program Executor,RoR,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
188,Backward compatibility when run with Auto Clog button unchecked.,C2C3,Program Executor,RoR,Module ROR does not run/or does not run as before
189,Leak Check and Ped Leak should not start simultaneously - OR even two Ped Leaks at the same time. ,C2C3,Program Executor,RoR,"This would cause re-entrancy. And since this happening on the same module, we would have a case of two masters controlling one module's HW simultaneously."
190,Auto Clogging does not run,C2C3,Program Executor,RoR,Leak Check for PED valves shall not happen
191,Auto Clogging ER,C2C3,Program Executor,RoR,ER does not complete the Auto-clogging Leak check.
192,Correct Last Leak/Leak Date update,C2C3,Program Executor,RoR,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
193,Backward compatibility when run with Auto Clog button unchecked.,C2C3,Program Executor,RoR,Module ROR does not run/or does not run as before
194,Leak Check and Ped Leak should not start simultaneously - OR even two Ped Leaks at the same time. ,C2C3,Program Executor,RoR,"This would cause re-entrancy. And since this happening on the same module, we would have a case of two masters controlling one module's HW simultaneously."
195,Sched did not respond to Module Grant service request,C2C3,Scheduler,Service request,Module Auto PM request
196,Auto PM Operation is not created,C2C3,Scheduler,Service request,AutoPM operation list creation
197,Auto PM is never granted,C2C3,Scheduler,Service request,Auto PM grant
198,Auto PM is granted when module is processing wafers,C2C3,Scheduler,Service request,Auto PM grant
199,Auto PM is not aborted,C2C3,Scheduler,Service request,Abort Auto PM
200,Module requests like Clean/ROR/shutdown is not granted due to Auto PM request in queue,C2C3,Scheduler,Service request,Module requests denied due to Auto PM request
201,1. Softshutdown issued while Auto PM request  is Queue and tool was processing wafer.,C2C3,Scheduler,Service request,Execution of PM after Schedule granted service
202,Sched did not respond to Module Grant service request,C2C3,Scheduler,Service request,Module Auto PM request 
203,Sched doesnot create Operation for Auto PM for that module.,C2C3,Scheduler,Service request,Module Auto PM request 
204,Softshutdown issued while Auto PM request  is Queue and tool was processing wafer.,C2C3,Scheduler,Service request,Execution of PM after Schedule granted service
205,Auto PM is never granted,C2C3,Scheduler,Service request,Auto PM not granted
206,Auto PM is granted when module is processing wafers,C2C3,Scheduler,Service request,Auto PM granted
207,Auto PM is not aborted,C2C3,Scheduler,Service request,Abort Auto PM
208,Module requets like -Clean/ROR/shutdown is not granted due to Auto PM request in queue,C2C3,Scheduler,Service request,Module requests denied due to Auto PM request
209,Module Auto PM request,C2C3,Program Executor,Service request,Module is in Offline state while Auto PM request received
210,Module Auto PM request,C2C3,Program Executor,Service request,Module is in Error state and is  online
211,Auto PM request Processing,C2C3,Program Executor,Service request,User did not instal License for AutoPM
212,Auto PM request Execution,C2C3,Program Executor,Service request,License expired while Auto PM currently executing
213,Auto PM request Abortion,C2C3,Program Executor,Service request,PMJOBABORT sent while some other List is executing
214,Auto PM request Processing,C2C3,Program Executor,Service request,Auto PM request by Host for a module which doesnot support Auto PM
215,Module Auto PM request,C2C3,Program Executor,Service request,Sched did not respond to Module Grant service request
216,Module Auto PM request,C2C3,Program Executor,Service request,Sched doesnot create Operation for Auto PM for that module.
217,Module Auto PM request,C2C3,Program Executor,Service request,Module is in Offline state while Auto PM request received
218,Module Auto PM request,C2C3,Program Executor,Service request,Module is in Error state and is  online
219,Auto PM request Processing,C2C3,Program Executor,Service request,Auto PM request by Host for a module which doesnot support Auto PM
220,Auto PM request Processing,C2C3,Program Executor,Service request,User did not instal License for AutoPM
221,Auto PM request Execution,C2C3,Program Executor,Service request,License expired while Auto PM currently executing
222,Auto PM request Abortion,C2C3,Program Executor,Service request,PMJOBABORT sent while some other List is executing 
223,Module Auto PM request ,C2C3,Program Executor,Service request,Module is in Offline state while Auto PM request received
224,Module Auto PM request ,C2C3,Program Executor,Service request,Module is in Error state and is  online
225,Auto PM request Processing,C2C3,Program Executor,Service request,User did not instal License for AutoPM
226,Auto PM request Execution,C2C3,Program Executor,Service request,License expired while Auto PM currently executing
227,Auto PM request Abortion,C2C3,Program Executor,Service request,PMJOBABORT sent while some other List is executing 
228,Another PMJObRequest while PMJob in queue/executing.,C2C3,Program Executor,Service request,Module recives Post PM request while a. Auto PM is currently Executing . b.Auto PM already requested.
229,Auto PM request Processing,C2C3,Program Executor,Service request,Auto PM request by Host for a module which doesnot support Auto PM
230,Module requests like Clean/ROR/shutdown not granted due to Auto PM request in queue,Nexus,Scheduler,Service request,Module requests denied due to Auto PM request
231,Module will process more wafers beyond accumulation limit set,C2C3,Scheduler,Shutdown,clean
232,Auto Clogging does not run,C2C3,Program Executor,Shutdown,Leak Check for PED valves shall not happen
233,Auto Clogging ER,C2C3,Program Executor,Shutdown,ER does not complete the Auto-clogging Leak check.
234,Correct Last Leak/Leak Date update,C2C3,Program Executor,Shutdown,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
235,Backward compatibility when run with Auto Clog button unchecked.,C2C3,Program Executor,Shutdown,Module ROR does not run/or does not run as before
236,Leak Check and Ped Leak should not start simultaneously - OR even two Ped Leaks at the same time. ,C2C3,Program Executor,Shutdown,"This would cause re-entrancy. And since this happening on the same module, we would have a case of two masters controlling one module's HW simultaneously."
237,Auto Clogging does not run,C2C3,Program Executor,Shutdown,Leak Check for PED valves shall not happen
238,Auto Clogging ER,C2C3,Program Executor,Shutdown,ER does not complete the Auto-clogging Leak check.
239,Correct Last Leak/Leak Date update,C2C3,Program Executor,Shutdown,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
240,Backward compatibility when run with Auto Clog button unchecked.,C2C3,Program Executor,Shutdown,Module ROR does not run/or does not run as before
241,Leak Check and Ped Leak should not start simultaneously - OR even two Ped Leaks at the same time. ,C2C3,Program Executor,Shutdown,"This would cause re-entrancy. And since this happening on the same module, we would have a case of two masters controlling one module's HW simultaneously."
242,Module will process more wafers beyond accumulation limit set,Nexus,Scheduler,Shutdown,clean
243,Slave bath module KB goes down,C2C3,Module mainL,Slave Bath,Reverse forwarding from bath module to slave bath KB
244,Slave bath module cannot communicate with bath module on Node 3,C2C3,Module mainL,Slave Bath,Reverse forwarding from bath module to slave bath KB
245,Slave bath module does not come up when linked PMA-PMB configuration is chosen,C2C3,Module mainL,Slave Bath,Module boot up
246,Timing Manager could not load the previously learned time from disk,Nexus,Scheduler,Timing Manager,Usage of Previously learned time
247,Persistancy over power-cycle and upgrade,C2C3,Program,Upgrade,"One or more of these values does not get preserved over a power-cycle or upgrade:  1  ROR Duration, 2  Hi and Low Warn limits, 3  Hi and Low Fault limits"
248,Persistancy over power-cycle and upgrade,C2C3,Program,Upgrade,"One or more of these values does not get preserved over a power-cycle or upgrade:  1  ROR Duration, 2  Hi and Low Warn limits, 3  Hi and Low Fault limits "
249,Error recovery for a List item which repeated multi times,C2C3,Program Executor,Utilities,Module errors out while Executing Full flush for the 10th time while it was executing in a loop mode for 50 times
250,Aborting of Auto PM,C2C3,Program Executor,Utilities,Error recovery is not possible for PRE/Post PM list
251,Ofline List Execution,C2C3,Program Executor,Utilities,Error recovery of Auto PM not possible
252,Error recovery,C2C3,Program Executor,Utilities,Unable to recover load lock module from error
253,Error recovery,C2C3,Program Executor,Utilities,Unable to recover load lock module from error
254,Error recovery,C2C3,Program Executor,Utilities,Unable to recover load lock module from error
255,Clear Error for Auto PM ER - Error Recovery ,C2C3,Program Executor,Utilities,Number of List items in PRE PM gets skipped due to Clear error
256,Error recovery for a List item which repeated multi times,C2C3,Program Executor,Utilities,Module errors out while Executing Full flush for the 10th time while it was executing in a loop mode for 50 times
257,Aborting of Auto PM,C2C3,Program Executor,Utilities,Error recovery is not possible for PRE/Post PM list
258,Pump/Abatement Unit Device failure,C2C3,Program Executor,Utilities,The list execution does not proceed further to the Green mode related program step.
259,Incorrect data populated,C2C3,UI,Wafer Log Viewer,Wafer Movement Tab - Chart Data
260,Usability Issues,C2C3,UI,Wafer Log Viewer,Wafer Movement Tab - Chart Data
261,"Different load lock is used while exiting from tool, rather than the one selected in  - entry to the tool  recipe.",C2C3,Scheduler,Wafer Path,wafer sequence
262,scheduler ends up in deadlock when routing wafers with new recipe,C2C3,Scheduler,Wafer Path,wafer sequence
